DIRECTION_DOUBLE_PREPARE,52.504077,13.409192,0.000000,-1.000000,5.000000,1469093412950.052002,-1.000000,"Wanderweg",In 10 m,TableViewCellArrowTurnRight,8,1469093413131.894043,GUINavigator
NEXT_DIRECTION,52.504099,13.409111,0.000000,-1.000000,5.000000,1469093415994.070068,-1.000000,"Wanderweg",In 10 m,TableViewCellArrowTurnRight,8,1469093416060.833984,GUINavigator
NEXT_DIRECTION,52.504121,13.409030,0.000000,-1.000000,5.000000,1469093418944.539062,-1.000000,"Wanderweg",Jetzt,TableViewCellArrowTurnRight,8,1469093419043.447021,GUINavigator
NEXT_DIRECTION,52.504233,13.408625,0.000000,-1.000000,5.000000,1469093434960.782959,-1.000000,"Weg",In 110 m,TableViewCellArrowTurnRight,8,1469093435027.791992,GUINavigator
NEXT_DIRECTION,52.504255,13.408545,0.000000,-1.000000,5.000000,1469093437950.014160,-1.000000,"Weg",In 100 m,TableViewCellArrowTurnRight,8,1469093438008.985107,GUINavigator
NEXT_DIRECTION,52.504277,13.408464,0.000000,-1.000000,5.000000,1469093441121.209229,-1.000000,"Weg",In 100 m,TableViewCellArrowTurnRight,8,1469093441189.661133,GUINavigator
NEXT_DIRECTION,52.504299,13.408383,0.000000,-1.000000,5.000000,1469093443953.052002,-1.000000,"Weg",In 90 m,TableViewCellArrowTurnRight,8,1469093444012.213867,GUINavigator
NEXT_DIRECTION,52.504322,13.408302,0.000000,-1.000000,5.000000,1469093446955.734131,-1.000000,"Weg",In 90 m,TableViewCellArrowTurnRight,8,1469093447024.613770,GUINavigator
NEXT_DIRECTION,52.504344,13.408222,0.000000,-1.000000,5.000000,1469093449999.459961,-1.000000,"Weg",In 80 m,TableViewCellArrowTurnRight,8,1469093450056.812012,GUINavigator
NEXT_DIRECTION,52.504366,13.408141,0.000000,-1.000000,5.000000,1469093452953.130127,-1.000000,"Weg",In 80 m,TableViewCellArrowTurnRight,8,1469093453009.231934,GUINavigator
NEXT_DIRECTION,52.504387,13.408063,0.000000,-1.000000,5.000000,1469093455942.295166,-1.000000,"Weg",In 80 m,TableViewCellArrowTurnRight,8,1469093455998.971924,GUINavigator
NEXT_DIRECTION,52.504408,13.407991,0.000000,-1.000000,5.000000,1469093458884.230225,-1.000000,"Weg",In 70 m,TableViewCellArrowTurnRight,8,1469093458904.696045,GUINavigator
NEXT_DIRECTION,52.504430,13.407910,0.000000,-1.000000,5.000000,1469093461943.903076,-1.000000,"Weg",In 70 m,TableViewCellArrowTurnRight,8,1469093462015.068115,GUINavigator
NEXT_DIRECTION,52.504452,13.407830,0.000000,-1.000000,5.000000,1469093464997.531982,-1.000000,"Weg",In 70 m,TableViewCellArrowTurnRight,8,1469093465087.078125,GUINavigator
NEXT_DIRECTION,52.504474,13.407749,0.000000,-1.000000,5.000000,1469093467963.282227,-1.000000,"Weg",In 60 m,TableViewCellArrowTurnRight,8,1469093468032.127930,GUINavigator
NEXT_DIRECTION,52.504497,13.407668,0.000000,-1.000000,5.000000,1469093470954.506836,-1.000000,"Weg",In 60 m,TableViewCellArrowTurnRight,8,1469093471009.697021,GUINavigator
NEXT_DIRECTION,52.504519,13.407588,0.000000,-1.000000,5.000000,1469093473949.966797,-1.000000,"Weg",In 50 m,TableViewCellArrowTurnRight,8,1469093474007.423828,GUINavigator
NEXT_DIRECTION,52.504541,13.407507,0.000000,-1.000000,5.000000,1469093476816.873047,-1.000000,"Weg",In 50 m,TableViewCellArrowTurnRight,8,1469093476835.715088,GUINavigator
NEXT_DIRECTION,52.504804,13.406552,0.000000,-1.000000,5.000000,1469093512958.579102,-1.000000,"Kommandantenstraße",In 80 m,TableViewCellArrowKeepStraight,1,1469093513018.578125,GUINavigator
NEXT_DIRECTION,52.504827,13.406472,0.000000,-1.000000,5.000000,1469093515953.022949,-1.000000,"Kommandantenstraße",In 80 m,TableViewCellArrowKeepStraight,1,1469093516013.513184,GUINavigator
LEFT_ROUTE,52.504935,13.406078,0.000000,-1.000000,5.000000,1469093530969.438965,-1.000000,"Tour",in 80 m (Luftlinie),TableViewCellArrowReturnTour,0,1469093531062.549072,GUINavigator
DIRECTION_SINGLE_PREPARE,52.504935,13.406078,0.000000,-1.000000,5.000000,1469093530969.438965,-1.000000,"Oranienstraße",Jetzt,TableViewCellArrowUTurn,12,1469093532403.222168,GUINavigator
LEFT_ROUTE,52.501088,13.411458,0.000000,-1.000000,5.000000,1469093549976.870117,-1.000000,"Tour",in 550 m (Luftlinie),TableViewCellArrowReturnTour,0,1469093550059.299072,GUINavigator
DIRECTION_SINGLE_PREPARE,52.501088,13.411458,0.000000,-1.000000,5.000000,1469093549976.870117,-1.000000,"Ritterstraße",Jetzt,TableViewCellArrowUTurn,12,1469093550421.809814,GUINavigator
DIRECTION_SINGLE_PREPARE,52.501325,13.410656,0.000000,-1.000000,5.000000,1469093580938.756104,-1.000000,"Ritterstraße",Jetzt,TableViewCellArrowUTurn,12,1469093581006.902100,GUINavigator
DIRECTION_SINGLE_PREPARE,52.501682,13.409454,0.000000,-1.000000,5.000000,1469093626960.427002,-1.000000,"Ritterstraße",Jetzt,TableViewCellArrowUTurn,12,1469093627039.027832,GUINavigator
NEXT_DIRECTION,52.502043,13.409443,0.000000,-1.000000,5.000000,1469093653959.383057,-1.000000,"Ritterstraße",In 40 m,TableViewCellArrowTurnLeft,5,1469093654091.647217,GUINavigator
DIRECTION_SINGLE_PREPARE,52.502293,13.409633,0.000000,-1.000000,5.000000,1469093670816.603027,-1.000000,"Nebenstraße",Jetzt,TableViewCellArrowTurnLeft,5,1469093670839.956055,GUINavigator
